tt	A549	GM12878	H1hESC	HeLaS3	HepG2	HT1080	HUVEC	IMR90	K562	MCF7	NCIH460	NHEK	SKMEL5	SKNDZ	SKNSH
Feature#78	0.350169171	0.004476208	0.00910771	0.067502236	0.709697344	1	0.810673562	0.327592192	0.770875358	0.075496095	0.838740838	0.330803956	0.688893456	0.376339711	0.828859732
Feature#79	0.541710221	0.828350555	0.790771191	0.748466682	0.82603432	0.824828982	0.262992291	0.274264214	0.120872945	0.274165156	0.142678648	0.074146555	0.47665194	0.122526284	0.83514112
Feature#80	0.344390781	0.508811615	0.84377479	1	0.000746103	0.014466846	0.014140994	0.069817482	0.193327815	0.000987093	0.374519531	0.85913297	0.17457507	0.831033055	0.213454295
Feature#81	1	0.191320433	0.041743736	0.142067588	0.044597256	0.018369914	0.071355834	0.016275793	0.390439226	0.190489716	0.409633695	0.902505177	0.024314973	0.826038847	0.179004103
Feature#82	0.691884537	0.536388296	0.041668518	0.796931784	0.785994998	0.394101736	0.119186612	0.682048102	0.672059832	0.52620884	0.564863222	0.027224995	0.038275763	0.668973065	0.615291129
Feature#83	0.149150628	0.806394038	4.92E-05	0.828177458	1	0.458137543	0.360230675	0.48041524	0.312363739	0.44552536	0.336936967	0.385518648	0.857864802	0.123174837	0.703701384
Feature#84	0.077369886	0.814018403	0.332346817	0.70449836	0.08735571	0.328285916	0.054636808	0.32191094	0.527125709	0.237831707	0.732194649	0.768348213	0.254927787	0.552367402	1
Feature#85	0.707006033	1	0.009347004	0.589643099	0.577828102	0.705167564	0.118255196	1	0.200826451	0.696175812	1	1	1	0.381045126	0.681196588
Feature#86	0.635641484	0.033581933	0.015199711	0.554741986	0.293730512	0.203517536	0.131276029	0.292996627	0.24051072	0.03463401	0.253936837	0.813586228	0.371457273	0.480690791	0.137174119
Feature#87	0.833812743	0.474245578	0.75354394	1	0.643046707	0.526315365	0.645589997	1	0.737421633	0.838121534	0.717847934	0.808961542	0.748508272	1	0.034120625
Feature#88	0.930505597	0.586720052	0.406727051	0.89875439	0.849543122	0.003574315	0.125950754	0.273490336	0.250236207	0.095814863	0.400628603	0.201394249	0.550074539	0.51690307	0.475432377
Feature#89	1	1	0.496483743	1	1	1	0.661951301	1	1	0.241015496	1	0.491244664	0.505932558	0.149744609	0.301183808
Feature#90	0.342656554	1	0.001824363	1	0.142608022	0.136112172	0.686841366	0.706261916	0.461321018	1	1	0.833537436	0.748508272	0.220621761	0.574635323
Feature#91	0.445742327	0.156157521	0.123946186	0.316715054	0.635541617	0.628991086	0.167265426	0.354411288	0.380126337	0.032510504	0.681550606	0.086981346	0.670055792	0.149682113	0.230532144
Feature#92	0.531327158	0.126971763	1	0.368010784	0.167871663	0.883260624	0.050612883	0.076016781	0.872773982	0.181355179	1	1	0.028645637	0.734120774	1
